year;nominal interest rate;expected inflation;inflation;real gdp;potential real gdp
1982;8.95;4.8624209;6.131427;7303.817;7899.930113
1983;9.47;5.0893714;3.212435233;7880.794;8152.89931
1984;8.38;5.0342399;4.300535475;8320.199;8444.488997
1985;8.27;4.3655158;3.545644152;8668.188;8750.702428
1986;6.91;3.4800833;1.898047722;8920.193;9051.44726
1987;6.77;4.2591451;3.664563218;9319.332;9346.699627
1988;8.76;4.1229057;4.077741107;9673.405;9642.593858
1989;8.45;3.6632645;4.82700303;9938.767;9932.278633
1990;7.31;3.8566272;5.39795644;9998.704;10217.22563
1991;4.43;3.4956178;4.234963965;10115.329;10471.64287
1992;2.92;3.4364061;3.028819678;10558.648;10725.8237
1993;2.96;2.9813298;2.951656966;10833.987;10998.2884
1994;5.45;3.8150244;2.607441592;11279.932;11287.17003
1995;5.6;2.8370533;2.805419689;11528.067;11593.61162
1996;5.29;3.040501;2.9312042;12037.775;11951.0779
1997;5.5;2.9939903;2.337689937;12577.495;12403.09148
1998;4.68;2.5016398;1.552279099;13191.67;12930.45419
1999;5.3;3.2173645;2.188027197;13827.98;13508.99701
2000;6.4;2.8761227;3.376857271;14229.765;14071.40193
2001;1.82;2.6393462;2.826171119;14253.574;14525.22567
2002;1.24;2.3274091;1.586031627;14537.58;14905.53569
2003;0.98;2.3653793;2.270094973;15162.76;15278.38868
2004;2.16;2.3469422;2.677236693;15670.88;15675.55862
2005;4.16;2.5702512;3.392746845;16136.734;16062.03594
2006;5.24;2.3467956;3.225944101;16561.866;16404.4319
2007;4.24;2.1470427;2.852672482;16915.191;16732.83636
2008;0.16;1.5806981;3.839100297;16485.35;17046.57639
2009;0.12;1.9064085;-0.355546266;16502.754;17297.9985
2010;0.18;1.6945193;1.640043442;16960.864;17551.85697
2011;0.07;1.6422125;3.156841569;17222.583;17845.43317
2012;0.16;1.5262619;2.069337265;17489.852;18163.79377
2013;0.09;1.7851389;1.464832656;18016.147;18496.93396
2014;0.12;1.8521375;1.622222977;18500.031;18843.33814
2015;0.24;1.81273123;0.118627136;18892.206;19198.65855
2016;0.54;1.95369171;1.261583206;19304.352;19551.31062
2017;1.3;2.01118703;2.130110004;19882.352;19919.84185
2018;2.27;2.09134924;2.442583297;20304.874;20331.49541
2019;1.55;1.7145255;1.812210075;20985.448;20758.05351
2020;0.09;1.41717038;1.233584396;20771.691;21167.09
2021;0.08;1.75897506;4.697858864;21960.388;21558.24025
2022;4.1;2.21937769;8.002799821;22249.459;22004.67907
2023;5.33;2.27841034;4.116338384;22960.6;22452.06
